T1,T2,time_taken_t1,time_taken_t2,edit_distance_t1,edit_distance_t2
8,8,0.0001,0.0000,1,6
8,16,0.0002,0.0000,4,10
8,32,0.0003,0.0001,3,24
8,64,0.0007,0.0001,2,56
8,128,0.0018,0.0003,1,120
8,256,0.0028,0.0004,4,248
8,512,0.0048,0.0005,4,504
8,1024,0.0110,0.0012,6,1016
16,16,0.0003,0.0001,1,12
16,32,0.0008,0.0001,3,30
16,64,0.0012,0.0003,1,50
16,128,0.0032,0.0006,0,112
16,256,0.0041,0.0008,0,244
16,512,0.0097,0.0016,2,496
16,1024,0.0203,0.0023,5,1008
32,32,0.0013,0.0004,0,24
32,64,0.0024,0.0007,2,48
32,128,0.0053,0.0007,1,116
32,256,0.0121,0.0015,4,232
32,512,0.0184,0.0033,3,482
32,1024,0.0412,0.0048,0,992
64,64,0.0043,0.0013,2,56
64,128,0.0120,0.0018,4,124
64,256,0.0227,0.0034,1,224
64,512,0.0361,0.0075,3,472
64,1024,0.0738,0.0163,2,982
128,128,0.0179,0.0046,0,138
128,256,0.0360,0.0093,3,240
128,512,0.0802,0.0202,3,466
128,1024,0.1575,0.0271,2,960
256,256,0.0826,0.0184,2,290
256,512,0.1523,0.0325,1,560
256,1024,0.2978,0.0705,5,954
512,512,0.3212,0.0649,3,682
512,1024,0.6373,0.1399,4,1048
1024,1024,1.3305,0.2549,2,1472
