T1,T2,time_taken_t1,time_taken_t2,edit_distance_t1,edit_distance_t2
8,8,0.0001,0.0000,0,0
8,16,0.0003,0.0000,3,8
8,32,0.0006,0.0001,6,24
8,64,0.0017,0.0001,12,56
8,128,0.0037,0.0001,22,120
8,256,0.0093,0.0002,38,248
8,512,0.0234,0.0004,66,504
8,1024,0.0635,0.0008,117,1016
16,16,0.0007,0.0001,0,0
16,32,0.0016,0.0001,3,16
16,64,0.0038,0.0001,9,48
16,128,0.0095,0.0002,19,112
16,256,0.0235,0.0003,35,240
16,512,0.0600,0.0005,63,496
16,1024,0.1605,0.0008,114,1008
32,32,0.0035,0.0002,0,0
32,64,0.0089,0.0003,6,32
32,128,0.0215,0.0004,16,96
32,256,0.0536,0.0005,32,224
32,512,0.1380,0.0007,60,480
32,1024,0.3744,0.0011,111,992
64,64,0.0216,0.0005,0,0
64,128,0.0536,0.0007,10,64
64,256,0.1347,0.0009,26,192
64,512,0.3524,0.0012,54,448
64,1024,0.9152,0.0017,105,960
128,128,0.1358,0.0014,0,0
128,256,0.3398,0.0017,16,128
128,512,1.1682,0.0021,44,384
128,1024,2.3709,0.0026,95,896
256,256,0.8293,0.0033,0,0
256,512,2.1212,0.0040,28,256
256,1024,5.6957,0.0049,79,768
512,512,5.8438,0.0079,0,0
512,1024,16.4077,0.0097,51,512
1024,1024,40.4075,0.0187,0,0
